stream_id,skill_id,interest_id,weight
S06,SK050,I006,0.77
S06,SK070,I031,0.73
S02,SK076,I037,0.87
S03,SK007,I017,0.96
S01,SK020,I016,0.94
S12,SK010,I009,0.85
S08,SK047,I036,0.75
S04,SK006,I020,0.91
S11,SK069,I039,0.86
S07,SK047,I025,0.96
S04,SK033,I039,0.88
S05,SK067,I053,0.82
S07,SK038,I020,0.8
S01,SK023,I038,0.97
S03,SK053,I032,0.91
S09,SK058,I055,0.77
S03,SK062,I008,0.92
S02,SK012,I018,0.94
S07,SK004,I048,0.71
S02,SK025,I006,0.73
S04,SK030,I022,0.91
S09,SK054,I035,0.84
S12,SK038,I042,0.67
S11,SK011,I008,0.92
S07,SK021,I047,0.63
S06,SK057,I029,0.82
S06,SK022,I047,0.79
S10,SK064,I055,0.79
S01,SK067,I030,0.67
S05,SK004,I006,0.9
S01,SK042,I026,0.88
S02,SK060,I012,0.67
S10,SK068,I010,0.73
S11,SK036,I039,0.83
S11,SK072,I033,0.87
S12,SK011,I041,0.83
S02,SK054,I035,0.9
S04,SK064,I054,0.95
S04,SK070,I027,0.84
S02,SK006,I023,0.83
S07,SK001,I003,0.79
S08,SK007,I038,0.81
S08,SK019,I022,0.86
S07,SK035,I029,0.73
S06,SK037,I050,0.78
S08,SK051,I053,0.76
S09,SK006,I056,0.67
S11,SK057,I052,0.65
S07,SK029,I008,0.98
S12,SK018,I042,0.98
S02,SK059,I018,0.75
S05,SK040,I048,0.76
S07,SK071,I041,0.84
S01,SK023,I040,0.84
S11,SK016,I050,0.92
S05,SK072,I002,0.85
S01,SK014,I025,0.94
S08,SK054,I057,0.93
S06,SK020,I036,0.96
S05,SK029,I055,0.69
S07,SK042,I037,0.89
S01,SK073,I007,0.67
S01,SK023,I015,0.88
S09,SK011,I034,0.8
S08,SK007,I007,0.79
S08,SK042,I006,0.78
S08,SK016,I030,0.75
S01,SK043,I006,0.92
S03,SK048,I057,0.73
S01,SK036,I003,0.65
S07,SK057,I047,0.75
S05,SK008,I052,0.95
S04,SK004,I004,0.98
S10,SK075,I043,0.78
S11,SK051,I038,0.64
S02,SK070,I052,0.85
S10,SK038,I027,0.78
S12,SK017,I031,0.67
S06,SK070,I022,0.92
S03,SK031,I046,0.7
S09,SK048,I027,0.88
S10,SK013,I007,0.8
S11,SK039,I013,0.65
S01,SK061,I029,0.74
S02,SK069,I050,0.81
S12,SK013,I009,0.9
S04,SK001,I018,0.93
S02,SK069,I002,0.95
S01,SK015,I027,0.76
S01,SK051,I009,0.87
S09,SK027,I026,0.95
S09,SK053,I049,0.81
S03,SK054,I039,0.85
S05,SK014,I016,0.79
S11,SK009,I037,0.68
S05,SK041,I028,0.75
S06,SK058,I058,0.82
S11,SK045,I056,0.88
S07,SK052,I024,0.82
S07,SK031,I014,0.84
S08,SK041,I011,0.78
S07,SK017,I028,0.82
S01,SK074,I013,0.73
S03,SK007,I010,0.7
S03,SK008,I011,0.91
S02,SK035,I021,0.93
S06,SK048,I017,0.9
S04,SK067,I027,0.85
S11,SK018,I022,0.95
S11,SK056,I007,0.65
S01,SK071,I010,0.74
S06,SK020,I022,0.68
S04,SK022,I041,0.7
S11,SK052,I049,0.76
S08,SK031,I016,0.67
S01,SK056,I023,0.89
S04,SK053,I018,0.66
S12,SK069,I026,0.72
S05,SK066,I013,0.95
S10,SK049,I036,0.81
S07,SK024,I035,0.75
S07,SK055,I006,0.79
S01,SK068,I036,0.85
S01,SK065,I020,0.87
S11,SK042,I046,0.75
S07,SK039,I055,0.7
S06,SK068,I035,0.82
S09,SK027,I046,0.84
S02,SK042,I022,0.9
S01,SK032,I024,0.74
S11,SK032,I020,0.94
S05,SK066,I008,0.76
S08,SK064,I012,0.96
S09,SK072,I038,0.94
S01,SK071,I052,0.92
S08,SK017,I048,0.69
S12,SK074,I026,0.9
S11,SK058,I040,0.67
S08,SK009,I022,0.95
S11,SK074,I008,0.74
S01,SK056,I001,0.82
S10,SK048,I026,0.8
S04,SK006,I047,0.91
S03,SK053,I003,0.75
S06,SK063,I013,0.72
S10,SK048,I004,0.85
S05,SK011,I026,0.92
S07,SK067,I025,0.95
S02,SK032,I020,0.87
S01,SK031,I044,0.75
S03,SK023,I016,0.81
S04,SK064,I059,0.84
S12,SK021,I029,0.8
S09,SK054,I024,0.98
S03,SK064,I029,0.68
S09,SK072,I030,0.87
S10,SK008,I010,0.86
S12,SK008,I049,0.95
S07,SK004,I024,0.83
S01,SK039,I019,0.72
S08,SK043,I011,0.89
S06,SK024,I052,0.69
S10,SK030,I054,0.68
S10,SK018,I051,0.98
S11,SK006,I037,0.97
S06,SK048,I017,0.8
S03,SK036,I006,0.62
S04,SK039,I013,0.98
S09,SK030,I016,0.8
S06,SK074,I029,0.8
S07,SK010,I037,0.7
S11,SK023,I039,0.88
S03,SK037,I047,0.75
S05,SK043,I050,0.71
S02,SK071,I022,0.77
S05,SK034,I053,0.95
S11,SK064,I036,0.82
S04,SK007,I059,0.85
S02,SK074,I025,0.81
S09,SK066,I057,0.81
S09,SK046,I015,0.83
S10,SK032,I047,0.86
S12,SK013,I001,0.72
S03,SK017,I033,0.97
S05,SK053,I023,0.94
S03,SK049,I020,0.86
S08,SK076,I036,0.72
S05,SK010,I012,0.96
S05,SK012,I042,0.79
S05,SK061,I029,0.86
S09,SK013,I039,0.66
S11,SK074,I018,0.96
S10,SK070,I042,0.97
S04,SK066,I001,0.62
S06,SK011,I020,0.83
S07,SK066,I030,0.81
S08,SK018,I001,0.97
S09,SK029,I054,0.65
S06,SK014,I050,0.84
S03,SK036,I018,0.76
S05,SK042,I056,0.97
S11,SK057,I032,0.71
S03,SK004,I042,0.77
S01,SK048,I038,0.83
S10,SK011,I033,0.9
S07,SK067,I018,0.91
S07,SK041,I047,0.98
S05,SK054,I039,0.83
S07,SK039,I040,0.83
S06,SK027,I013,0.74
S05,SK015,I051,0.64
S01,SK009,I050,0.74
S09,SK025,I002,0.84
S10,SK051,I005,0.75
S08,SK039,I037,0.85
S06,SK011,I038,0.81
S05,SK054,I018,0.72
S06,SK051,I045,0.89
S08,SK036,I019,0.69
S12,SK012,I026,0.82
S05,SK072,I024,0.69
S01,SK059,I023,0.75
S06,SK040,I009,0.64
S09,SK069,I047,0.92
S11,SK063,I034,0.97
S10,SK051,I024,0.69
S01,SK050,I032,0.78
S02,SK040,I007,0.84
S07,SK011,I017,0.71
S11,SK011,I044,0.69
S07,SK018,I027,0.67
S07,SK053,I053,0.84
S09,SK029,I009,0.81
S02,SK060,I059,0.69
S10,SK026,I030,0.69
S09,SK070,I004,0.96
S12,SK054,I015,0.71
S09,SK052,I029,0.73
S01,SK066,I043,0.86
S08,SK008,I059,0.9
S05,SK033,I019,0.76
S12,SK058,I005,0.86
S11,SK070,I053,0.98
S06,SK048,I036,0.96
S04,SK003,I004,0.91
S08,SK013,I012,0.97
S04,SK037,I050,0.91
S12,SK064,I023,0.82
S10,SK024,I028,0.8
S03,SK016,I049,0.76
S08,SK026,I053,0.83
S06,SK064,I039,0.83
S08,SK043,I020,0.84
